music   음악
water   물
air   공기
address   주소
arm   팔
airport  공항
age   나이
apple   사과
animal   동물
aunt   고모
baby  아기
bag   가방
banana   바나나
bank   은행
bear   곰
bath   목욕
beach   해변
black   검정색
bird   새
breakfast   아침식사
bridge   다리
brush   솔
brother   형제
calendar   달력
camera   사진기
capital   수도
carry   나르다
bread   빵
computer   컴퓨터
chopstick   젓가락
child   어린이
cloud   구름
strawberry   딸기
ruler   자
eraser   지우개
carrot   당근
watermelon   수박
paper   종이
balloon  풍선
school   학교
fish   물고기
rabbit   토끼
nation   국가
laundry   세탁소
guest   손님
problem   문제
throat   목소리
petal   꽃잎
poet   시인
voice   목소리
